age,ast_pct,blk_pct,bpm,drb_pct,fg3a_per_fga_pct,g,mp,orb_pct,playerID,playerName,pos,stl_pct,teamid,tov_pct,trb_pct,ts_pct,usg_pct,vorp,year
21,8.0,2.2,3.8,14.8,.493,37,918,4.3,batumni01,"Batum,Nicolas",SF,1.4,POR,8.5,9.5,.646,16.4,1.3,2010
21,22.1,0.3,-2.5,9.8,.190,74,1304,1.7,bayleje01,"Bayless,Jerryd",SG,1.1,POR,13.8,5.7,.534,24.9,-0.2,2010
21,7.8,1.7,-1.7,18.8,.098,78,2328,6.3,beaslmi01,"Beasley,Michael",PF,1.8,MIA,10.3,12.6,.505,25.8,0.2,2010
21,18.6,1.3,1.3,10.7,.368,56,700,2.0,beaubro01,"Beaubois,Rodrigue",PG,2.1,DAL,14.4,6.4,.617,24.7,0.6,2010
23,11.8,0.3,-2.2,8.3,.417,66,1121,1.5,belinma01,"Belinelli,Marco",SG,1.9,TOR,12.2,5.0,.543,20.1,-0.1,2010
30,9.8,0.6,-1.7,7.5,.451,71,1611,2.1,bellch01,"Bell,Charlie",SG,1.3,MIL,10.3,4.7,.486,14.8,0.1,2010
33,12.3,0.9,-0.1,11.8,.443,6,180,3.4,bellra01,"Bell,Raja",SG,1.2,TOT,7.4,7.6,.570,17.3,0.1,2010
33,11.3,1.0,-0.2,12.1,.436,5,157,3.9,bellra01,"Bell,Raja",SG,1.4,CHA,8.2,8.1,.533,18.2,0.1,2010
33,19.5,0.0,0.5,9.8,.500,1,23,0.0,bellra01,"Bell,Raja",SG,0.0,GSW,0.0,4.8,.917,11.2,0.0,2010
29,8.4,4.3,-5.4,14.7,.390,25,292,5.7,bendejo01,"Bender,Jonathan",SF,0.3,NYK,20.1,10.1,.529,21.6,-0.2,2010
31,20.8,0.1,-0.2,8.8,.503,80,2195,1.1,bibbymi01,"Bibby,Mike",PG,1.6,ATL,11.7,4.9,.538,16.1,1.0,2010
23,10.1,4.1,0.7,29.0,.000,33,763,9.1,biedran01,"Biedrins,Andris",C,1.3,GSW,17.8,18.9,.561,10.1,0.5,2010
33,26.1,0.3,3.1,9.3,.423,73,2490,1.2,billuch01,"Billups,Chauncey",PG,1.7,DEN,13.0,5.3,.601,24.3,3.2,2010
20,7.1,1.9,0.7,25.1,.004,82,1494,16.0,blairde01,"Blair,DeJuan",PF,1.8,SAS,16.5,20.6,.564,20.8,1.0,2010
29,26.9,0.2,-1.5,9.4,.563,80,2159,1.2,blakest01,"Blake,Steve",PG,1.4,TOT,19.1,5.2,.539,14.5,0.3,2010
29,22.5,0.1,-0.3,9.2,.583,51,1397,1.3,blakest01,"Blake,Steve",PG,1.4,POR,15.0,5.2,.526,14.8,0.6,2010
29,34.9,0.4,-3.7,9.6,.521,29,762,0.9,blakest01,"Blake,Steve",PG,1.4,LAC,26.6,5.2,.569,14.1,-0.3,2010
23,13.8,2.4,0.6,18.2,.044,81,2256,7.9,blatcan01,"Blatche,Andray",PF,2.0,WAS,14.2,13.0,.519,25.8,1.5,2010
29,8.5,0.6,0.1,11.2,.658,79,1559,1.9,boganke01,"Bogans,Keith",SF,1.5,SAS,14.2,6.6,.542,11.0,0.8,2010
25,10.3,6.2,3.4,26.4,.002,69,2229,10.1,bogutan01,"Bogut,Andrew",C,0.9,MIL,11.4,17.9,.540,23.3,3.0,2010
29,9.0,1.5,2.5,16.1,.621,65,1161,5.3,bonnema01,"Bonner,Matt",PF,1.4,SAS,9.0,10.8,.581,17.0,1.3,2010
25,4.6,3.4,-1.9,22.0,.000,63,1045,13.1,boonejo01,"Boone,Josh",PF,1.5,NJN,13.0,17.4,.509,12.5,0.0,2010
28,15.8,1.1,3.5,29.9,.000,78,2673,8.2,boozeca01,"Boozer,Carlos",PF,1.6,UTA,14.3,19.4,.599,24.8,3.7,2010
25,11.5,2.1,2.3,25.2,.019,70,2526,9.9,boshch01,"Bosh,Chris",C,0.9,TOR,10.7,17.7,.592,28.7,2.7,2010
34,0.0,0.0,8.1,14.0,.000,1,8,14.7,bowenry01,"Bowen,Ryan",SF,6.4,OKC,0.0,14.3,1.064,10.5,0.0,2010
33,25.3,0.2,-4.7,6.1,.149,67,1117,1.7,boykiea01,"Boykins,Earl",PG,1.1,WAS,13.5,3.9,.498,20.7,-0.8,2010
30,7.9,2.7,-1.1,14.7,.001,76,2297,9.0,brandel01,"Brand,Elton",PF,1.9,PHI,12.0,11.8,.518,21.7,0.5,2010
23,12.5,0.9,-1.6,9.6,.250,82,2482,3.1,breweco01,"Brewer,Corey",SG,2.4,MIN,13.4,6.3,.502,21.5,0.2,2010
24,12.7,0.7,1.1,9.4,.072,58,1742,3.1,brewero02,"Brewer,Ronnie",SG,2.7,TOT,9.8,6.4,.524,13.9,1.4,2010
24,13.1,0.7,1.3,9.4,.075,53,1662,3.2,brewero02,"Brewer,Ronnie",SG,2.6,UTA,9.7,6.4,.530,14.1,1.4,2010
24,4.9,0.0,-3.7,8.8,.000,5,80,1.5,brewero02,"Brewer,Ronnie",SG,3.8,MEM,11.6,5.1,.329,9.4,0.0,2010
30,1.6,2.5,-9.5,16.3,.000,21,95,14.2,brezepr01,"Brezec,Primoz",C,0.6,TOT,6.5,15.2,.332,14.6,-0.2,2010
30,0.0,2.2,-16.7,20.0,.000,7,36,19.4,brezepr01,"Brezec,Primoz",C,1.5,PHI,0.0,19.6,.180,17.6,-0.1,2010
30,2.6,2.7,-5.2,14.2,.000,14,59,11.0,brezepr01,"Brezec,Primoz",C,0.0,MIL,11.9,12.5,.474,12.9,0.0,2010
22,4.8,0.6,-0.8,19.2,.000,52,654,18.2,brockjo01,"Brockman,Jon",PF,1.2,SAC,15.0,18.7,.564,10.4,0.2,2010
25,25.6,0.3,0.2,6.6,.394,82,2919,2.0,brookaa01,"Brooks,Aaron",PG,1.2,HOU,13.7,4.2,.549,25.7,1.6,2010
25,27.5,0.1,-6.6,6.6,.414,45,519,2.0,brownbo02,"Brown,Bobby",PG,1.5,TOT,15.9,4.3,.441,25.4,-0.6,2010
25,22.7,0.2,-6.3,6.2,.434,22,328,0.4,brownbo02,"Brown,Bobby",PG,1.4,NOH,13.4,3.2,.466,25.0,-0.4,2010
25,35.7,0.0,-7.0,7.3,.376,23,191,4.8,brownbo02,"Brown,Bobby",PG,1.6,LAC,20.0,6.1,.397,26.1,-0.2,2010
22,6.0,1.5,-2.2,10.4,.048,57,535,7.1,brownde04,"Brown,Derrick",SF,2.1,CHA,9.6,8.8,.520,17.2,0.0,2010
31,9.1,0.4,-3.0,10.6,.454,50,1060,3.2,brownde02,"Brown,Devin",SG,1.6,TOT,13.5,6.8,.500,19.8,-0.3,2010
31,9.0,0.4,-2.5,10.1,.452,39,967,3.2,brownde02,"Brown,Devin",SG,1.6,NOH,13.6,6.6,.522,19.8,-0.1,2010
31,10.9,0.8,-8.9,15.3,.472,11,93,2.4,brownde02,"Brown,Devin",SG,1.7,CHI,12.2,9.0,.278,19.8,-0.2,2010
27,5.1,1.5,-5.6,24.3,.008,48,660,9.1,brownkw01,"Brown,Kwame",C,1.2,DET,20.5,16.2,.470,14.7,-0.6,2010
24,9.9,1.4,-1.4,10.0,.319,82,1700,2.0,brownsh01,"Brown,Shannon",SG,1.7,LAL,9.4,6.0,.517,18.8,0.3,2010
31,23.8,0.5,3.6,12.2,.192,73,2835,3.1,bryanko01,"Bryant,Kobe",SG,2.1,LAL,11.4,7.7,.545,32.3,4.0,2010
21,9.7,0.5,-1.1,14.6,.441,74,1488,2.8,budinch01,"Budinger,Chase",SF,1.2,HOU,7.4,8.5,.545,19.4,0.3,2010
29,9.2,0.7,-0.6,14.9,.138,74,2783,4.3,butleca01,"Butler,Caron",SF-SG,2.2,TOT,11.9,9.5,.507,22.1,1.0,2010
29,9.6,0.6,-0.8,15.6,.137,47,1853,4.2,butleca01,"Butler,Caron",SF,1.9,WAS,12.6,9.8,.506,22.0,0.6,2010
29,8.5,0.7,-0.3,13.3,.140,27,930,4.5,butleca01,"Butler,Caron",SG,2.7,DAL,10.5,8.9,.509,22.3,0.4,2010
30,6.8,1.9,-1.6,8.7,.497,82,2702,1.7,butlera01,"Butler,Rasual",SF,0.7,LAC,7.8,5.1,.524,17.0,0.3,2010
22,5.8,3.6,1.4,20.4,.001,65,1977,10.1,bynuman01,"Bynum,Andrew",C,0.9,LAL,12.5,15.3,.608,20.8,1.7,2010
27,28.2,0.4,-2.5,9.2,.103,63,1667,1.6,bynumwi01,"Bynum,Will",PG,1.8,DET,15.8,5.2,.513,20.1,-0.2,2010
28,33.8,0.3,-0.6,7.5,.301,68,1817,1.5,caldejo01,"Calderon,Jose",PG,1.3,TOR,13.9,4.6,.569,17.9,0.6,2010
35,12.3,4.8,4.5,31.9,.014,74,2314,12.7,cambyma01,"Camby,Marcus",PF-C,2.2,TOT,14.1,22.2,.501,12.8,3.8,2010
35,14.4,4.6,4.6,32.9,.017,51,1596,12.0,cambyma01,"Camby,Marcus",PF,2.2,LAC,13.9,22.4,.497,13.0,2.7,2010
35,7.5,5.2,4.5,29.9,.007,23,718,14.2,cambyma01,"Camby,Marcus",C,2.0,POR,14.5,22.0,.511,12.3,1.2,2010
32,12.3,0.8,-2.9,9.4,.250,29,267,2.9,cardibr01,"Cardinal,Brian",PF,1.7,MIN,13.7,6.1,.546,8.3,-0.1,2010
25,6.7,1.8,-2.7,15.5,.479,68,857,3.5,carnero01,"Carney,Rodney",SG,1.5,PHI,6.3,9.4,.515,17.6,-0.1,2010
23,5.9,0.9,-4.1,14.3,.027,71,795,7.8,carrode01,"Carroll,DeMarre",SF,1.8,MEM,8.9,11.0,.426,14.8,-0.4,2010
29,7.7,0.0,-6.6,7.5,.380,25,121,3.8,carroma01,"Carroll,Matt",SG,2.1,DAL,11.7,5.7,.437,22.7,-0.1,2010
34,26.6,1.1,-2.2,9.6,.348,54,859,2.3,cartean01,"Carter,Anthony",PG,2.3,DEN,23.7,6.0,.482,12.6,0.0,2010
33,17.8,0.6,1.7,12.6,.319,75,2310,1.7,cartevi01,"Carter,Vince",SG,1.2,ORL,8.4,7.3,.541,25.2,2.2,2010
