age,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,ft,fta,g,mp,playerID,playerName,teamid,tov,year
22,50,.439,114,32,.352,91,21,24,54,776,brownst02,"Brown,Sterling",MIL,25,2018
24,0,,0,0,.000,2,0,0,4,10,brussni01,"Brussino,Nicolas",ATL,0,2018
20,7,.636,11,1,.100,10,5,9,15,72,bryanth01,"Bryant,Thomas",LAL,2,2018
26,142,.536,265,125,.445,281,39,49,62,1732,bullore01,"Bullock,Reggie",DET,47,2018
25,155,.556,279,38,.362,105,37,57,36,785,burketr01,"Burke,Trey",NYK,43,2018
26,123,.452,272,47,.331,142,107,124,64,1059,burksal01,"Burks,Alec",UTA,60,2018
28,367,.509,721,70,.350,200,363,425,59,2164,butleji01,"Butler,Jimmy",MIN,108,2018
28,67,.438,153,15,.333,45,36,41,29,427,buyckdw01,"Buycks,Dwight",DET,39,2018
22,6,.429,14,3,.176,17,5,6,12,107,cabocbr01,"Caboclo,Bruno",TOT,4,2018
22,0,,0,0,.000,2,0,0,2,7,cabocbr01,"Caboclo,Bruno",TOR,0,2018
22,6,.429,14,3,.200,15,5,6,10,100,cabocbr01,"Caboclo,Bruno",SAC,4,2018
36,48,.545,88,45,.464,97,24,30,57,914,caldejo01,"Calderon,Jose",CLE,41,2018
24,181,.473,383,159,.383,415,153,194,74,2458,caldwke01,"Caldwell-Pope,Kentavious",LAL,97,2018
26,30,.423,71,22,.333,66,46,51,20,422,canaais01,"Canaan,Isaiah",TOT,29,2018
26,0,.000,1,0,,0,0,0,1,4,canaais01,"Canaan,Isaiah",HOU,0,2018
26,30,.429,70,22,.333,66,46,51,19,418,canaais01,"Canaan,Isaiah",PHO,29,2018
23,441,.653,675,0,.000,1,144,257,74,2034,capelca01,"Capela,Clint",HOU,103,2018
31,180,.457,394,145,.371,391,188,246,73,2180,carrode01,"Carroll,DeMarre",BRK,103,2018
41,57,.483,118,57,.345,165,28,37,58,1026,cartevi01,"Carter,Vince",SAC,36,2018
26,62,.365,170,14,.237,59,73,89,52,835,cartemi01,"Carter-Williams,Michael",CHO,52,2018
23,37,.507,73,13,.302,43,21,30,37,562,carusal01,"Caruso,Alex",LAL,42,2018
29,110,.595,185,10,.455,22,50,69,53,740,casspom01,"Casspi,Omri",GSW,37,2018
24,385,.506,761,3,.250,12,153,247,73,2044,caulewi01,"Cauley-Stein,Willie",SAC,109,2018
23,35,.556,63,32,.360,89,17,21,39,518,cavanty01,"Cavanaugh,Tyler",ATL,14,2018
31,115,.456,252,53,.277,191,118,138,66,1421,chalmma01,"Chalmers,Mario",MEM,117,2018
35,121,.647,187,0,,0,58,93,46,1151,chandty01,"Chandler,Tyson",PHO,59,2018
30,193,.501,385,88,.358,246,88,114,74,2346,chandwi01,"Chandler,Wilson",DEN,92,2018
20,146,.509,287,56,.295,190,96,158,72,1527,chrisma01,"Chriss,Marquese",PHO,107,2018
26,160,.533,300,62,.318,195,45,59,74,1455,clarkia01,"Clark,Ian",NOP,57,2018
25,318,.500,636,112,.352,318,152,190,81,1888,clarkjo01,"Clarkson,Jordan",TOT,127,2018
25,231,.505,457,68,.324,210,105,132,53,1256,clarkjo01,"Clarkson,Jordan",LAL,95,2018
25,87,.486,179,44,.407,108,47,58,28,632,clarkjo01,"Clarkson,Jordan",CLE,32,2018
24,0,.000,3,6,.400,15,2,2,7,64,clavegi01,"Clavell,Gian",DAL,2,2018
23,5,.294,17,3,.750,4,4,6,17,123,clevean01,"Cleveland,Antonius",TOT,7,2018
23,4,.308,13,0,.000,1,2,4,13,81,clevean01,"Cleveland,Antonius",DAL,2,2018
23,1,.250,4,3,1.000,3,2,2,4,42,clevean01,"Cleveland,Antonius",ATL,5,2018
20,298,.598,498,16,.340,47,133,186,74,1785,collijo01,"Collins,John",ATL,105,2018
20,80,.455,176,35,.310,113,27,42,66,1045,colliza01,"Collins,Zach",POR,58,2018
26,34,.415,82,4,.235,17,21,40,32,480,colliky01,"Collinsworth,Kyle",DAL,24,2018
30,220,.508,433,96,.468,205,127,144,69,2018,collida01,"Collison,Darren",IND,86,2018
37,13,.684,19,0,,0,5,13,15,75,collini01,"Collison,Nick",OKC,7,2018
30,40,.440,91,24,.312,77,53,66,12,373,conlemi01,"Conley,Mike",MEM,18,2018
25,91,.506,180,74,.352,210,37,44,82,1488,connapa01,"Connaughton,Pat",POR,43,2018
24,76,.514,148,46,.442,104,22,25,33,740,cookqu01,"Cook,Quinn",GSW,32,2018
23,1,.167,6,1,.125,8,1,2,13,38,cookech01,"Cooke,Charles",NOP,1,2018
26,13,.481,27,0,,0,14,19,7,87,cooleja01,"Cooley,Jack",SAC,3,2018
24,2,.500,4,0,,0,0,0,4,32,costema01,"Costello,Matt",SAS,1,2018
27,302,.530,570,104,.354,294,294,394,48,1737,couside01,"Cousins,DeMarcus",NOP,242,2018
27,142,.497,286,203,.369,550,116,136,80,2532,covinro01,"Covington,Robert",PHI,126,2018
25,136,.461,295,201,.378,532,115,135,75,2197,crabbal01,"Crabbe,Allen",BRK,78,2018
27,45,.570,79,17,.293,58,22,35,39,629,craigto01,"Craig,Torrey",DEN,20,2018
37,204,.477,428,104,.331,314,102,113,80,1653,crawfja01,"Crawford,Jamal",MIN,95,2018
29,4,.308,13,8,.571,14,1,1,5,53,crawfjo02,"Crawford,Jordan",NOP,5,2018
27,161,.488,330,110,.323,341,121,148,80,2090,crowdja01,"Crowder,Jae",TOT,74,2018
27,95,.508,187,62,.328,189,78,92,53,1346,crowdja01,"Crowder,Jae",CLE,42,2018
27,66,.462,143,48,.316,152,43,56,27,744,crowdja01,"Crowder,Jae",UTA,32,2018
30,106,.541,196,58,.345,168,31,52,73,1562,cunnida01,"Cunningham,Dante",TOT,33,2018
30,64,.547,117,35,.324,108,20,36,51,1115,cunnida01,"Cunningham,Dante",NOP,16,2018
30,42,.532,79,23,.383,60,11,16,22,447,cunnida01,"Cunningham,Dante",BRK,17,2018
29,216,.595,363,212,.423,501,278,302,51,1631,curryst01,"Curry,Stephen",GSW,153,2018
26,49,.419,117,183,.400,458,56,64,79,1622,danietr01,"Daniels,Troy",PHO,56,2018
24,725,.558,1300,55,.340,162,495,598,75,2727,davisan02,"Davis,Anthony",NOP,162,2018
21,161,.608,265,0,,0,38,57,62,943,davisde01,"Davis,Deyonta",MEM,32,2018
28,170,.584,291,0,.000,1,74,111,78,1471,davised01,"Davis,Ed",POR,66,2018
28,200,.595,336,50,.355,141,67,86,62,1542,dedmode01,"Dedmon,Dewayne",ATL,86,2018
23,118,.593,199,10,.167,60,37,56,73,883,dekkesa01,"Dekker,Sam",LAC,33,2018
28,63,.391,161,46,.371,124,74,92,54,1014,delanma01,"Delaney,Malcolm",ATL,66,2018
27,26,.351,74,29,.372,78,25,27,38,712,dellama01,"Dellavedova,Matthew",MIL,49,2018
32,1,.500,2,0,,0,0,0,1,13,denglu01,"Deng,Luol",LAL,1,2018
28,556,.494,1126,89,.310,287,461,559,80,2711,derozde01,"DeRozan,DeMar",TOR,175,2018
21,102,.580,176,0,,0,50,66,52,581,diallch01,"Diallo,Cheick",NOP,28,2018
28,167,.511,327,19,.311,61,79,102,79,1333,dienggo01,"Dieng,Gorgui",MIN,59,2018
24,183,.452,405,141,.326,433,218,268,80,2306,dinwisp01,"Dinwiddie,Spencer",BRK,128,2018
21,72,.393,183,72,.362,199,45,63,56,974,dorsety01,"Dorsey,Tyler",ATL,37,2018
23,50,.538,93,22,.324,68,16,23,44,474,dotsoda01,"Dotson,Damyean",NYK,17,2018
24,9,.375,24,4,.174,23,4,8,10,125,doylemi01,"Doyle,Milton",BRK,2,2018
21,1,.500,2,0,,0,0,0,2,3,doziepj01,"Dozier,PJ",OKC,1,2018
31,373,.481,775,111,.370,300,217,271,75,2378,dragigo01,"Dragic,Goran",MIA,166,2018
27,4,.267,15,3,.333,9,0,0,10,70,drewla02,"Drew,Larry",TOT,3,2018
27,1,.250,4,0,.000,3,0,0,3,15,drewla02,"Drew,Larry",PHI,1,2018
27,3,.273,11,3,.500,6,0,0,7,55,drewla02,"Drew,Larry",NOP,2,2018
24,466,.536,870,0,.000,11,239,395,78,2625,drumman01,"Drummond,Andre",DET,200,2018
32,19,.452,42,29,.363,80,27,35,48,686,dudleja01,"Dudley,Jared",PHO,28,2018
23,243,.457,532,43,.321,134,84,114,52,1525,dunnkr01,"Dunn,Kris",CHI,150,2018
29,457,.565,809,173,.419,413,359,404,68,2325,duranke01,"Durant,Kevin",GSW,207,2018
26,0,,0,0,.000,2,0,0,3,9,eddieja01,"Eddie,Jarell",TOT,0,2018
26,0,,0,0,.000,1,0,0,2,6,eddieja01,"Eddie,Jarell",BOS,0,2018
26,0,,0,0,.000,1,0,0,1,3,eddieja01,"Eddie,Jarell",CHI,0,2018
21,33,.384,86,20,.333,60,25,29,38,329,ellenhe01,"Ellenson,Henry",DET,18,2018
30,58,.479,121,227,.392,579,67,78,77,2041,ellinwa01,"Ellington,Wayne",MIA,52,2018
23,444,.527,842,66,.308,214,359,467,63,1912,embiijo01,"Embiid,Joel",PHI,234,2018
27,131,.567,231,51,.333,153,97,116,72,1604,ennisja01,"Ennis,James",TOT,56,2018
27,78,.565,138,30,.357,84,64,73,45,1053,ennisja01,"Ennis,James",MEM,38,2018
27,53,.570,93,21,.304,69,33,43,27,551,ennisja01,"Ennis,James",DET,18,2018
23,80,.476,168,14,.250,56,22,29,54,683,ennisty01,"Ennis,Tyler",LAL,38,2018
21,74,.372,199,15,.278,54,38,49,48,778,evansja01,"Evans,Jawun",LAC,44,2018
30,1,1.000,1,0,,0,0,0,1,5,evansje01,"Evans,Jeremy",ATL,1,2018
28,252,.482,523,114,.399,286,164,209,52,1607,evansty01,"Evans,Tyreke",MEM,117,2018
22,37,.536,69,5,.278,18,25,31,14,235,exumda01,"Exum,Dante",UTA,20,2018
28,76,.517,147,0,.000,1,36,51,32,461,farieke01,"Faried,Kenneth",DEN,23,2018
26,381,.596,639,14,.222,63,140,215,77,2153,favorde01,"Favors,Derrick",UTA,88,2018
22,17,.333,51,4,.211,19,11,12,16,140,feldeka01,"Felder,Kay",TOT,16,2018
22,16,.333,48,4,.222,18,11,12,14,134,feldeka01,"Felder,Kay",CHI,15,2018
22,1,.333,3,0,.000,1,0,0,2,6,feldeka01,"Felder,Kay",DET,1,2018
25,127,.596,213,0,.000,2,54,81,55,977,feliccr01,"Felicio,Cristiano",CHI,54,2018
33,143,.444,322,81,.352,230,36,44,82,1365,feltora01,"Felton,Raymond",OKC,76,2018
19,30,.612,49,40,.333,120,9,10,61,763,fergute01,"Ferguson,Terrance",OKC,11,2018
24,177,.477,371,134,.373,359,82,103,82,2282,ferreyo01,"Ferrell,Yogi",DAL,78,2018
24,26,.481,54,20,.299,67,11,15,21,448,finnedo01,"Finney-Smith,Dorian",DAL,21,2018
24,120,.446,269,89,.390,228,48,72,80,1517,forbebr01,"Forbes,Bryn",SAS,37,2018
25,241,.516,467,127,.379,335,150,173,57,1837,fournev01,"Fournier,Evan",ORL,95,2018
20,281,.436,644,47,.307,153,141,195,73,2026,foxde01,"Fox,De'Aaron",SAC,173,2018
