age,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,ft,fta,g,mp,playerID,playerName,teamid,tov,year
24,164,.488,336,108,.434,249,72,98,82,2221,afflaar01,"Afflalo,Arron",DEN,74,2010
21,5,.500,10,0,,0,0,1,6,30,ajincal01,"Ajinca,Alexis",CHA,2,2010
24,574,.498,1153,5,.313,16,230,304,78,2922,aldrila01,"Aldridge,LaMarcus",POR,104,2010
23,1,.200,5,0,.000,1,2,3,8,29,alexajo01,"Alexander,Joe",CHI,0,2010
31,45,.409,110,1,.167,6,12,13,51,456,allenma01,"Allen,Malik",DEN,22,2010
34,319,.556,574,145,.363,399,231,253,80,2819,allenra02,"Allen,Ray",BOS,129,2010
28,129,.520,248,0,.000,5,72,119,54,889,allento01,"Allen,Tony",BOS,66,2010
33,97,.349,278,58,.345,168,59,81,52,1421,alstora01,"Alston,Rafer",TOT,95,2010
33,67,.353,190,28,.322,87,44,54,27,766,alstora01,"Alston,Rafer",NJN,61,2010
33,30,.341,88,30,.370,81,15,27,25,655,alstora01,"Alston,Rafer",MIA,34,2010
27,152,.553,275,0,.000,1,67,123,79,1168,amundlo01,"Amundson,Lou",PHO,57,2010
31,142,.573,248,0,.000,3,164,236,76,1695,anderch01,"Andersen,Chris",DEN,59,2010
29,120,.458,262,27,.346,78,46,67,63,891,anderda03,"Andersen,David",HOU,37,2010
24,1,.333,3,0,,0,0,0,1,15,anderan02,"Anderson,Antonio",OKC,1,2010
21,91,.514,177,78,.370,211,71,82,63,911,anderry01,"Anderson,Ryan",ORL,56,2010
25,629,.478,1315,59,.316,187,508,612,69,2634,anthoca01,"Anthony,Carmelo",DEN,209,2010
27,76,.478,159,0,,0,66,92,80,1322,anthojo01,"Anthony,Joel",MIA,45,2010
28,190,.437,435,63,.348,181,153,207,32,1169,arenagi01,"Arenas,Gilbert",WAS,117,2010
24,258,.436,592,136,.334,407,148,228,72,2629,arizatr01,"Ariza,Trevor",HOU,161,2010
25,28,.359,78,0,.000,1,15,32,33,335,armsthi01,"Armstrong,Hilton",TOT,22,2010
25,19,.380,50,0,,0,13,28,18,239,armsthi01,"Armstrong,Hilton",NOH,13,2010
25,4,.333,12,0,,0,2,2,6,56,armsthi01,"Armstrong,Hilton",SAC,4,2010
25,5,.313,16,0,.000,1,0,2,9,40,armsthi01,"Armstrong,Hilton",HOU,5,2010
30,171,.489,350,7,.280,25,76,90,72,1585,arroyca01,"Arroyo,Carlos",MIA,54,2010
21,63,.434,145,0,.000,1,17,30,32,457,arthuda01,"Arthur,Darrell",MEM,22,2010
35,35,.417,84,22,.301,73,25,27,40,644,atkinch01,"Atkins,Chucky",DET,32,2010
22,98,.381,257,70,.393,178,102,131,80,1472,augusdj01,"Augustin,D.J.",CHA,74,2010
22,43,.662,65,0,,0,18,20,39,405,pendeje02,"Ayres,Jeff",POR,12,2010
26,38,.623,61,10,.370,27,19,28,9,231,azubuke01,"Azubuike,Kelenna",GSW,7,2010
25,6,.545,11,0,.000,7,2,6,13,91,balkmre01,"Balkman,Renaldo",DEN,6,2010
28,32,.653,49,7,.292,24,24,29,22,244,banksma01,"Banks,Marcus",TOR,20,2010
27,111,.485,229,44,.324,136,64,73,44,786,barbole01,"Barbosa,Leandro",PHO,46,2010
25,176,.476,370,56,.357,157,76,90,78,1546,bareajo01,"Barea,J.J.",DAL,102,2010
24,416,.509,818,121,.372,325,181,234,80,2799,bargnan01,"Bargnani,Andrea",TOR,120,2010
29,205,.586,350,66,.319,207,108,146,81,2097,barnema02,"Barnes,Matt",ORL,112,2010
28,30,.441,68,0,,0,22,29,7,232,barroea01,"Barron,Earl",NYK,11,2010
24,119,.511,233,0,,0,52,63,50,648,bassbr01,"Bass,Brandon",ORL,31,2010
33,13,.361,36,1,.250,4,7,10,15,134,battito01,"Battie,Tony",NJN,3,2010
31,77,.458,168,101,.362,279,77,106,67,2168,battish01,"Battier,Shane",HOU,64,2010
21,85,.625,136,54,.409,132,43,51,37,918,batumni01,"Batum,Nicolas",POR,27,2010
21,171,.437,391,29,.315,92,201,242,74,1304,bayleje01,"Bayless,Jerryd",POR,94,2010
21,440,.469,938,28,.275,102,192,240,78,2328,beaslmi01,"Beasley,Michael",MIA,131,2010
21,110,.582,189,45,.409,110,42,52,56,700,beaubro01,"Beaubois,Rodrigue",DAL,54,2010
23,94,.425,221,60,.380,158,101,121,66,1121,belinma01,"Belinelli,Marco",TOR,60,2010
30,96,.395,243,73,.365,200,48,67,71,1611,bellch01,"Bell,Charlie",MIL,54,2010
33,16,.471,34,12,.444,27,3,3,6,180,bellra01,"Bell,Raja",TOT,5,2010
33,15,.484,31,9,.375,24,3,3,5,157,bellra01,"Bell,Raja",CHA,5,2010
33,1,.333,3,3,1.000,3,0,0,1,23,bellra01,"Bell,Raja",GSW,0,2010
29,26,.426,61,14,.359,39,24,26,25,292,bendejo01,"Bender,Jonathan",NYK,28,2010
31,142,.444,320,126,.389,324,68,79,80,2195,bibbymi01,"Bibby,Mike",ATL,90,2010
23,81,.591,137,0,,0,4,25,33,763,biedran01,"Biedrins,Andris",GSW,32,2010
33,245,.441,555,157,.386,407,466,512,73,2490,billuch01,"Billups,Chauncey",DEN,177,2010
20,275,.558,493,0,.000,2,88,161,82,1494,blairde01,"Blair,DeJuan",SAS,112,2010
29,101,.443,228,116,.395,294,36,48,80,2159,blakest01,"Blake,Steve",TOT,128,2010
29,65,.439,148,78,.377,207,24,32,51,1397,blakest01,"Blake,Steve",POR,65,2010
29,36,.450,80,38,.437,87,12,16,29,762,blakest01,"Blake,Steve",LAC,63,2010
23,465,.487,955,13,.295,44,174,234,81,2256,blatcan01,"Blatche,Andray",WAS,182,2010
29,50,.490,102,70,.357,196,37,50,79,1559,boganke01,"Bogans,Keith",SAS,53,2010
25,473,.521,908,0,.000,2,149,237,69,2229,bogutan01,"Bogut,Andrew",MIL,131,2010
29,76,.539,141,90,.390,231,35,48,65,1161,bonnema01,"Bonner,Matt",SAS,39,2010
25,117,.525,223,0,,0,19,58,63,1045,boonejo01,"Boone,Josh",NJN,37,2010
28,617,.562,1098,0,,0,285,384,78,2673,boozeca01,"Boozer,Carlos",UTA,212,2010
25,592,.521,1136,8,.364,22,470,590,70,2526,boshch01,"Bosh,Chris",TOR,169,2010
34,1,1.000,1,0,,0,2,2,1,8,bowenry01,"Bowen,Ryan",OKC,0,2010
33,153,.446,343,19,.317,60,77,89,67,1117,boykiea01,"Boykins,Earl",WAS,69,2010
30,412,.481,857,0,.000,1,172,233,76,2297,brandel01,"Brand,Elton",PHI,131,2010
23,327,.459,712,82,.346,237,166,256,82,2482,breweco01,"Brewer,Corey",MIN,164,2010
24,201,.505,398,8,.258,31,85,133,58,1742,brewero02,"Brewer,Ronnie",TOT,53,2010
24,198,.514,385,8,.258,31,81,128,53,1662,brewero02,"Brewer,Ronnie",UTA,51,2010
24,3,.231,13,0,,0,4,5,5,80,brewero02,"Brewer,Ronnie",MEM,2,2010
30,9,.346,26,0,,0,1,6,21,95,brezepr01,"Brezec,Primoz",TOT,2,2010
30,2,.154,13,0,,0,1,2,7,36,brezepr01,"Brezec,Primoz",PHI,0,2010
30,7,.538,13,0,,0,0,4,14,59,brezepr01,"Brezec,Primoz",MIL,2,2010
22,55,.534,103,0,,0,37,62,52,654,brockjo01,"Brockman,Jon",SAC,23,2010
25,366,.454,806,209,.398,525,245,298,82,2919,brookaa01,"Brooks,Aaron",HOU,232,2010
25,62,.446,139,26,.265,98,13,15,45,519,brownbo02,"Brown,Bobby",TOT,46,2010
25,43,.500,86,17,.258,66,8,8,22,328,brownbo02,"Brown,Bobby",NOH,24,2010
25,19,.358,53,9,.281,32,5,7,23,191,brownbo02,"Brown,Bobby",LAC,22,2010
22,66,.471,140,2,.286,7,48,72,57,535,brownde04,"Brown,Derrick",CHA,19,2010
31,78,.396,197,58,.354,164,69,86,50,1060,brownde02,"Brown,Devin",TOT,62,2010
31,74,.416,178,54,.367,147,69,86,39,967,brownde02,"Brown,Devin",NOH,57,2010
31,4,.211,19,4,.235,17,0,0,11,93,brownde02,"Brown,Devin",CHI,5,2010
27,62,.504,123,0,.000,1,33,98,48,660,brownkw01,"Brown,Kwame",DET,43,2010
24,191,.474,403,62,.328,189,99,121,82,1700,brownsh01,"Brown,Shannon",LAL,67,2010
31,617,.487,1268,99,.329,301,439,541,73,2835,bryanko01,"Bryant,Kobe",LAL,233,2010
21,157,.497,316,92,.369,249,67,87,74,1488,budinch01,"Budinger,Chase",HOU,48,2010
29,408,.450,906,42,.290,145,264,315,74,2783,butleca01,"Butler,Caron",TOT,160,2010
29,268,.447,599,25,.263,95,185,211,47,1853,butleca01,"Butler,Caron",WAS,113,2010
29,140,.456,307,17,.340,50,79,104,27,930,butleca01,"Butler,Caron",DAL,47,2010
30,211,.482,438,145,.336,432,122,145,82,2702,butlera01,"Butler,Rasual",LAC,79,2010
22,392,.571,687,0,.000,1,193,261,65,1977,bynuman01,"Bynum,Andrew",LAL,115,2010
27,225,.470,479,12,.218,55,142,178,63,1667,bynumwi01,"Bynum,Will",DET,115,2010
28,206,.519,397,68,.398,171,83,104,68,1817,caldejo01,"Calderon,Jose",TOR,99,2010
35,236,.478,494,2,.286,7,78,122,74,2314,cambyma01,"Camby,Marcus",TOT,91,2010
35,164,.469,350,2,.333,6,60,91,51,1596,cambyma01,"Camby,Marcus",LAC,64,2010
35,72,.500,144,0,.000,1,18,31,23,718,cambyma01,"Camby,Marcus",POR,27,2010
32,11,.407,27,3,.333,9,17,18,29,267,cardibr01,"Cardinal,Brian",MIN,7,2010
25,72,.490,147,41,.304,135,52,63,68,857,carnero01,"Carney,Rodney",PHI,21,2010
23,88,.407,216,0,.000,6,33,53,71,795,carrode01,"Carroll,DeMarre",MEM,24,2010
29,14,.452,31,4,.211,19,6,6,25,121,carroma01,"Carroll,Matt",DAL,7,2010
34,59,.500,118,17,.270,63,11,13,54,859,cartean01,"Carter,Anthony",DEN,58,2010
33,315,.456,691,119,.367,324,257,306,75,2310,cartevi01,"Carter,Vince",ORL,106,2010
21,225,.480,469,75,.369,203,117,174,77,1931,casspom01,"Casspi,Omri",SAC,98,2010
23,107,.491,218,75,.318,236,82,110,73,1807,chalmma01,"Chalmers,Mario",MIA,123,2010
27,109,.574,190,0,,0,115,157,51,1163,chandty01,"Chandler,Tyson",CHA,91,2010
22,372,.524,710,40,.267,150,129,160,65,2320,chandwi01,"Chandler,Wilson",NYK,108,2010
22,54,.370,146,2,.400,5,26,36,51,383,clarkea01,"Clark,Earl",PHO,23,2010
31,12,.387,31,0,,0,10,25,34,261,collija03,"Collins,Jarron",PHO,10,2010
31,8,.364,22,0,.000,1,0,2,24,115,collija04,"Collins,Jason",ATL,5,2010
25,43,.387,111,4,.235,17,13,21,43,470,collima01,"Collins,Mardy",LAC,32,2010
22,330,.490,674,46,.400,115,148,174,76,2109,collida01,"Collison,Darren",NOH,202,2010
29,181,.593,305,1,.250,4,74,107,75,1557,collini01,"Collison,Nick",OKC,63,2010
22,287,.464,618,82,.387,212,139,187,80,2569,conlemi01,"Conley,Mike",MEM,170,2010
27,3,.429,7,0,.000,3,0,2,5,36,conrowi01,"Conroy,Will",HOU,4,2010
29,5,.357,14,2,.222,9,5,7,15,44,cookbr01,"Cook,Brian",HOU,6,2010
22,41,.323,127,40,.317,126,21,25,45,691,cookda02,"Cook,Daequan",MIA,24,2010
29,333,.491,678,163,.382,427,270,315,79,2460,crawfja01,"Crawford,Jamal",ATL,137,2010
22,106,.500,212,0,.000,2,31,48,63,707,cunnida01,"Cunningham,Dante",POR,15,2010
27,8,.381,21,0,,0,10,17,7,62,curryed01,"Curry,Eddy",NYK,13,2010
24,0,,0,0,,0,0,0,1,0,curryja01,"Curry,JamesOn",LAC,0,2010
21,362,.474,763,166,.437,380,177,200,80,2896,curryst01,"Curry,Stephen",GSW,243,2010
28,285,.545,523,0,,0,97,133,82,2124,dalemsa01,"Dalembert,Samuel",PHI,123,2010
34,132,.629,210,1,.333,3,61,101,55,1280,dampier01,"Dampier,Erick",DAL,61,2010
29,118,.534,221,6,.214,28,34,56,51,937,daniema01,"Daniels,Marquis",BOS,42,2010
30,330,.459,719,82,.277,296,239,291,75,2523,davisba01,"Davis,Baron",LAC,211,2010
24,122,.444,275,0,.000,4,96,138,54,933,davisgl01,"Davis,Glen",BOS,53,2010
25,2,.500,4,0,,0,1,2,2,8,davispa01,"Davis,Paul",WAS,0,2010
30,46,.455,101,16,.381,42,18,31,36,499,davisri01,"Davis,Ricky",LAC,29,2010
21,108,.540,200,29,.305,95,46,56,69,915,dayeau01,"Daye,Austin",DET,48,2010
27,165,.450,367,134,.367,365,93,119,75,2279,delfica01,"Delfino,Carlos",MIL,119,2010
24,441,.474,931,32,.386,83,252,330,70,2651,denglu01,"Deng,Luol",CHI,134,2010
20,251,.506,496,4,.250,16,148,194,77,1664,derozde01,"DeRozan,DeMar",TOR,62,2010
27,307,.541,567,66,.320,206,113,147,82,2906,diawbo01,"Diaw,Boris",CHA,178,2010
27,1,.250,4,1,.167,6,0,0,6,44,diawaya01,"Diawara,Yakhouba",MIA,3,2010
27,1,.333,3,1,.143,7,1,4,9,51,dienetr01,"Diener,Travis",TOT,0,2010
27,0,.000,1,1,.200,5,0,2,4,25,dienetr01,"Diener,Travis",IND,0,2010
27,1,.500,2,0,.000,2,1,2,5,26,dienetr01,"Diener,Travis",POR,0,2010
28,15,.517,29,0,,0,2,9,27,262,diopde01,"Diop,DeSagana",CHA,12,2010
29,70,.419,167,59,.376,157,47,61,53,971,doolike01,"Dooling,Keyon",NJN,59,2010
26,9,.450,20,0,,0,5,12,15,106,dorsejo01,"Dorsey,Joey",TOT,6,2010
26,5,.455,11,0,,0,1,2,7,54,dorsejo01,"Dorsey,Joey",HOU,4,2010
26,4,.444,9,0,,0,4,10,8,52,dorsejo01,"Dorsey,Joey",SAC,2,2010
23,111,.514,216,68,.389,175,55,68,56,1087,douglto01,"Douglas,Toney",NYK,55,2010
23,241,.464,519,14,.259,54,133,157,67,1730,douglch01,"Douglas-Roberts,Chris",NJN,97,2010
23,148,.488,303,74,.394,188,117,159,80,1442,dragigo01,"Dragic,Goran",PHO,126,2010
24,105,.461,228,120,.458,262,104,138,82,1991,dudleja01,"Dudley,Jared",PHO,68,2010
27,78,.404,193,90,.349,258,68,95,67,2072,duhonch01,"Duhon,Chris",NYK,110,2010
33,559,.522,1071,2,.182,11,271,374,78,2438,duncati01,"Duncan,Tim",SAS,140,2010
29,154,.478,322,75,.318,236,133,158,67,1486,dunlemi02,"Dunleavy,Mike",IND,72,2010
21,666,.506,1317,128,.365,351,756,840,82,3239,duranke01,"Durant,Kevin",OKC,271,2010
22,126,.441,286,64,.395,162,61,70,76,1384,ellinwa01,"Ellington,Wayne",MIN,74,2010
24,554,.470,1178,77,.338,228,292,388,64,2647,ellismo01,"Ellis,Monta",GSW,244,2010
33,5,.333,15,0,,0,2,5,12,66,elsonfr01,"Elson,Francisco",TOT,1,2010
33,4,.308,13,0,,0,2,2,11,62,elsonfr01,"Elson,Francisco",MIL,1,2010
33,1,.500,2,0,,0,0,3,1,4,elsonfr01,"Elson,Francisco",PHI,0,2010
31,118,.527,224,57,.337,169,46,61,79,1317,evansma01,"Evans,Maurice",ATL,20,2010
29,34,.493,69,0,,0,27,60,28,311,evansre01,"Evans,Reggie",TOR,22,2010
20,497,.485,1024,36,.255,141,348,465,72,2677,evansty01,"Evans,Tyreke",SAC,216,2010
23,138,.483,286,86,.376,229,57,85,82,1474,farmajo01,"Farmar,Jordan",LAL,72,2010
25,328,.475,690,60,.385,156,132,173,80,2643,feltora01,"Felton,Raymond",CHA,168,2010
24,62,.395,157,98,.368,266,85,98,62,1441,fernaru01,"Fernandez,Rudy",POR,72,2010
23,52,.553,94,0,.000,1,24,57,49,408,fesenky01,"Fesenko,Kyrylo",UTA,24,2010
36,49,.480,102,32,.390,82,8,15,46,709,finlemi01,"Finley,Michael",TOT,21,2010
36,24,.429,56,13,.317,41,6,9,25,395,finlemi01,"Finley,Michael",SAS,13,2010
36,25,.543,46,19,.463,41,2,6,21,314,finlemi01,"Finley,Michael",BOS,8,2010
35,134,.401,334,78,.348,224,113,132,82,2227,fishede01,"Fisher,Derek",LAL,78,2010
20,320,.434,737,77,.358,215,223,270,81,2339,flynnjo01,"Flynn,Jonny",MIN,233,2010
26,178,.484,368,8,.160,50,104,135,47,1189,fordtj01,"Ford,T.J.",IND,90,2010
33,22,.489,45,0,.000,1,5,9,16,255,fosteje01,"Foster,Jeff",IND,14,2010
26,193,.442,437,63,.346,182,129,145,70,1667,foyera01,"Foye,Randy",WAS,94,2010
26,145,.466,311,172,.439,392,98,121,81,2190,fryech01,"Frye,Channing",PHO,73,2010
31,39,.438,89,0,,0,10,25,32,314,gadzuda01,"Gadzuric,Dan",MIL,15,2010
23,31,.554,56,7,.269,26,23,46,32,217,gainesu01,"Gaines,Sundiata",UTA,14,2010
21,206,.469,439,186,.381,488,251,307,81,2747,gallida01,"Gallinari,Danilo",NYK,110,2010
28,59,.504,117,23,.390,59,15,17,25,575,garcifr01,"Garcia,Francisco",SAC,21,2010
33,401,.523,767,1,.200,5,185,221,69,2060,garneke01,"Garnett,Kevin",BOS,101,2010
25,378,.582,650,0,.000,1,252,376,69,2469,gasolma01,"Gasol,Marc",MEM,135,2010
29,452,.539,839,0,.000,5,286,362,65,2403,gasolpa01,"Gasol,Pau",LAL,143,2010
23,534,.492,1086,66,.327,202,301,400,80,3175,gayru01,"Gay,Rudy",MEM,169,2010
22,21,.420,50,7,.778,9,18,29,11,182,geeal01,"Gee,Alonzo",WAS,10,2010
32,41,.494,83,48,.390,123,16,23,45,761,georgde01,"George,Devean",GSW,15,2010
23,54,.454,119,71,.477,149,34,49,56,1068,gibsoda01,"Gibson,Daniel",CLE,36,2010
24,311,.494,629,0,,0,113,175,82,2204,gibsota01,"Gibson,Taj",CHI,114,2010
24,28,.560,50,0,.000,10,13,23,32,239,giddejr01,"Giddens,J.R.",TOT,17,2010
24,9,.474,19,0,.000,2,6,12,21,99,giddejr01,"Giddens,J.R.",BOS,7,2010
24,19,.613,31,0,.000,8,7,11,11,140,giddejr01,"Giddens,J.R.",NYK,10,2010
25,1,1.000,1,0,,0,0,0,2,5,gildetr01,"Gilder,Trey",MEM,0,2010
32,266,.481,553,132,.377,350,309,355,75,2150,ginobma01,"Ginobili,Manu",SAS,154,2010
27,253,.475,533,74,.372,199,104,126,76,2210,gomesry01,"Gomes,Ryan",MIN,95,2010
28,287,.483,594,1,.125,8,186,216,70,1755,goodedr01,"Gooden,Drew",TOT,108,2010
28,156,.473,330,1,.167,6,93,115,46,1030,goodedr01,"Gooden,Drew",DAL,56,2010
28,131,.496,264,0,.000,2,93,101,24,725,goodedr01,"Gooden,Drew",LAC,52,2010
26,216,.465,465,75,.321,234,198,230,62,1730,gordobe01,"Gordon,Ben",DET,118,2010
21,233,.503,463,119,.371,321,222,299,62,2229,gordoer01,"Gordon,Eric",LAC,144,2010
25,121,.540,224,0,.000,3,51,75,81,1088,gortama01,"Gortat,Marcin",ORL,46,2010
27,103,.545,189,2,.154,13,54,73,63,759,grahajo01,"Graham,Joey",DEN,43,2010
27,103,.542,190,16,.320,50,42,65,70,804,grahast01,"Graham,Stephen",CHA,36,2010
26,330,.471,701,158,.361,438,363,428,62,2278,grangda01,"Granger,Danny",IND,157,2010
25,42,.512,82,0,,0,20,28,32,311,grayaa01,"Gray,Aaron",TOT,18,2010
25,8,.381,21,0,,0,2,7,8,50,grayaa01,"Gray,Aaron",CHI,1,2010
25,34,.557,61,0,,0,18,21,24,261,grayaa01,"Gray,Aaron",NOH,17,2010
22,9,.529,17,6,.273,22,4,6,20,115,greenda02,"Green,Danny",CLE,5,2010
23,381,.503,758,104,.333,312,165,223,82,3043,greenje02,"Green,Jeff",OKC,135,2010
28,201,.494,407,47,.346,136,95,114,73,1553,greenwi01,"Green,Willie",PHI,67,2010
21,175,.473,370,69,.377,183,90,140,76,1630,greendo01,"Greene,Donte",SAC,93,2010
23,4,.500,8,0,.000,2,2,4,8,32,griffta01,"Griffin,Taylor",PHO,1,2010
24,24,.407,59,0,.000,3,14,19,36,240,haddaha01,"Haddadi,Hamed",MEM,20,2010
22,38,.585,65,2,.182,11,17,30,47,317,hairsma01,"Hairston,Malik",SAS,11,2010
29,7,.438,16,3,.600,5,2,5,10,44,haislma01,"Haislip,Marcus",SAS,3,2010
31,252,.435,579,41,.297,138,204,241,46,1552,hamilri01,"Hamilton,Richard",DET,115,2010
24,81,.367,221,0,.000,4,84,113,29,511,hansbty01,"Hansbrough,Tyler",IND,21,2010
20,140,.424,330,93,.375,248,194,240,76,1738,hardeja01,"Harden,James",OKC,106,2010
29,308,.496,621,140,.342,409,240,317,72,2195,harrial01,"Harrington,Al",NYK,132,2010
26,296,.444,667,60,.276,217,308,386,64,2221,harride01,"Harris,Devin",NJN,181,2010
26,11,.379,29,0,.000,1,7,11,13,96,harrimi01,"Harris,Mike",TOT,9,2010
26,10,.385,26,0,.000,1,5,9,8,82,harrimi01,"Harris,Mike",HOU,9,2010
26,1,.333,3,0,,0,2,2,5,14,harrimi01,"Harris,Mike",WAS,0,2010
31,1,.500,2,0,,0,0,0,5,22,hartja01,"Hart,Jason",TOT,3,2010
31,0,.000,1,0,,0,0,0,1,5,hartja01,"Hart,Jason",MIN,0,2010
31,1,1.000,1,0,,0,0,0,4,17,hartja01,"Hart,Jason",NOH,3,2010
29,312,.494,632,0,,0,147,193,78,2177,hasleud01,"Haslem,Udonis",MIA,75,2010
30,90,.421,214,0,.000,5,52,69,52,1106,hassetr01,"Hassell,Trenton",NJN,47,2010
21,286,.494,579,26,.299,87,73,106,72,1904,hawessp01,"Hawes,Spencer",SAC,131,2010
26,161,.489,329,0,,0,36,66,82,1773,hayesch01,"Hayes,Chuck",HOU,74,2010
28,78,.523,149,60,.335,179,14,18,45,1033,hayesja01,"Hayes,Jarvis",NJN,28,2010
30,276,.563,490,0,.000,1,152,245,77,2355,haywobr01,"Haywood,Brendan",TOT,99,2010
30,188,.561,335,0,,0,102,158,49,1614,haywobr01,"Haywood,Brendan",WAS,67,2010
30,88,.568,155,0,.000,1,50,87,28,741,haywobr01,"Haywood,Brendan",DAL,32,2010
27,99,.481,206,37,.352,105,48,58,47,813,headlu01,"Head,Luther",IND,54,2010
22,33,.388,85,4,.211,19,35,47,43,355,hendege02,"Henderson,Gerald",CHA,14,2010
23,384,.495,776,3,.500,6,169,224,81,2035,hibbero01,"Hibbert,Roy",IND,145,2010
21,289,.555,521,0,.000,1,111,163,81,1691,hicksjj01,"Hickson,J.J.",CLE,92,2010
27,421,.589,715,0,.000,2,293,416,82,2755,hilarne01,"Hilario,Nene",DEN,125,2010
23,278,.505,550,75,.399,188,183,237,78,2276,hillge01,"Hill,George",SAS,101,2010
37,301,.483,623,35,.438,80,205,251,81,2430,hillgr01,"Hill,Grant",PHO,108,2010
22,99,.497,199,0,.000,2,46,68,47,624,hilljo01,"Hill,Jordan",TOT,30,2010
22,41,.456,90,0,.000,2,15,21,24,252,hilljo01,"Hill,Jordan",NYK,12,2010
22,58,.532,109,0,,0,31,47,23,372,hilljo01,"Hill,Jordan",HOU,18,2010
29,204,.431,473,104,.371,280,85,113,74,2481,hinriki01,"Hinrich,Kirk",CHI,113,2010
19,168,.465,361,62,.390,159,65,86,73,1767,holidjr01,"Holiday,Jrue",PHI,156,2010
25,169,.560,302,0,.000,1,109,158,73,1223,holliry01,"Hollins,Ryan",MIN,95,2010
23,466,.551,846,1,1.000,1,213,270,81,2845,horfoal01,"Horford,Al",ATL,122,2010
31,94,.412,228,79,.348,227,48,52,68,1217,houseed01,"House,Eddie",TOT,47,2010
31,65,.419,155,64,.383,167,36,40,50,846,houseed01,"House,Eddie",BOS,27,2010
31,29,.397,73,15,.250,60,12,12,18,371,houseed01,"House,Eddie",NYK,20,2010
24,510,.617,827,0,.000,7,483,816,82,2843,howardw01,"Howard,Dwight",ORL,274,2010
29,134,.444,302,23,.267,86,109,139,35,918,howarjo01,"Howard,Josh",TOT,46,2010
29,117,.438,267,20,.267,75,94,119,31,827,howarjo01,"Howard,Josh",DAL,43,2010
29,17,.486,35,3,.273,11,15,20,4,91,howarjo01,"Howard,Josh",WAS,3,2010
36,191,.511,374,0,.000,1,55,70,73,1632,howarju01,"Howard,Juwan",POR,72,2010
25,16,.432,37,5,.313,16,11,13,25,131,hudsole01,"Hudson,Lester",TOT,14,2010
25,4,.308,13,3,.600,5,5,6,16,70,hudsole01,"Hudson,Lester",BOS,9,2010
25,12,.500,24,2,.182,11,6,7,9,61,hudsole01,"Hudson,Lester",MEM,5,2010
31,94,.381,247,43,.309,139,94,113,45,1115,hughela01,"Hughes,Larry",TOT,75,2010
31,74,.407,182,28,.289,97,65,79,31,820,hughela01,"Hughes,Larry",NYK,56,2010
31,20,.308,65,15,.357,42,29,34,14,295,hughela01,"Hughes,Larry",CHA,19,2010
24,180,.442,407,0,.000,1,127,190,69,1221,humphkr01,"Humphries,Kris",TOT,66,2010
24,53,.461,115,0,,0,25,44,25,315,humphkr01,"Humphries,Kris",DAL,13,2010
24,127,.435,292,0,.000,1,102,146,44,906,humphkr01,"Humphries,Kris",NJN,53,2010
25,109,.512,213,0,.000,4,52,69,60,783,huntech01,"Hunter,Chris",GSW,30,2010
39,4,.235,17,1,.077,13,2,2,13,122,hunteli01,"Hunter,Lindsey",CHI,4,2010
23,4,.333,12,0,,0,3,4,7,33,hunteot01,"Hunter,Othello",ATL,3,2010
28,17,.395,43,0,,0,19,36,21,158,huntest01,"Hunter,Steven",MEM,9,2010
20,200,.543,368,1,.500,2,58,92,73,1323,ibakase01,"Ibaka,Serge",OKC,68,2010
26,402,.492,817,94,.310,303,315,430,82,3193,iguodan01,"Iguodala,Andre",PHI,218,2010
34,183,.441,415,11,.478,23,75,101,64,1339,ilgauzy01,"Ilgauskas,Zydrunas",CLE,63,2010
29,48,.466,103,0,,0,9,19,49,355,mbengdj01,"Ilunga-Mbenga,Didier",LAL,15,2010
22,242,.496,488,81,.336,241,113,158,81,1898,ilyaser01,"Ilyasova,Ersan",MIL,71,2010
34,127,.436,291,9,.360,25,104,131,28,865,iversal01,"Iverson,Allen",TOT,64,2010
34,14,.560,25,1,1.000,1,6,12,3,67,iversal01,"Iverson,Allen",MEM,7,2010
34,113,.425,266,8,.333,24,98,119,25,798,iversal01,"Iverson,Allen",PHI,57,2010
28,21,.438,48,14,.400,35,9,12,44,326,iveyro01,"Ivey,Royal",TOT,11,2010
28,14,.452,31,12,.500,24,6,7,26,236,iveyro01,"Ivey,Royal",PHI,5,2010
28,7,.412,17,2,.182,11,3,5,18,90,iveyro01,"Ivey,Royal",MIL,6,2010
26,241,.511,472,82,.412,199,203,241,82,2243,jackja01,"Jack,Jarrett",TOR,163,2010
23,5,.357,14,1,.167,6,7,12,12,74,jacksce01,"Jackson,Cedric",TOT,11,2010
23,0,.000,1,0,.000,1,1,4,5,10,jacksce01,"Jackson,Cedric",CLE,1,2010
23,2,.400,5,0,.000,2,3,4,3,25,jacksce01,"Jackson,Cedric",SAS,2,2010
23,3,.375,8,1,.333,3,3,4,4,39,jacksce01,"Jackson,Cedric",WAS,8,2010
24,8,.308,26,1,.250,4,4,6,28,123,jacksda01,"Jackson,Darnell",TOT,13,2010
24,7,.318,22,1,.333,3,4,6,27,114,jacksda01,"Jackson,Darnell",CLE,13,2010
24,1,.250,4,0,.000,1,0,0,1,9,jacksda01,"Jackson,Darnell",MIL,0,2010
31,471,.460,1025,129,.328,393,338,434,81,3129,jacksst02,"Jackson,Stephen",TOT,259,2010
31,45,.484,93,11,.275,40,26,37,9,300,jacksst02,"Jackson,Stephen",GSW,26,2010
